Service File,Line Number,Error Type,Error Message,Root Cause,Fix Strategy,Priority,Status,Notes
"PRISMA CLIENT GENERATION",N/A,BLOCKER,"Cannot generate Prisma Client - network restrictions (403 Forbidden)","Network restrictions preventing download of Prisma engines from binaries.prisma.sh","Environment-specific: Either allow network access to binaries.prisma.sh OR copy pre-generated Prisma Client from Windows environment",CRITICAL,BLOCKED,"This blocks all TypeScript compilation. Without generated Prisma Client, we cannot see the deeper schema/code sync errors."

CURRENT BUILD ERRORS (Without Prisma Client):
"src/controllers/CustomerController.ts",2,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/middleware/auth.ts",3,IMPORT,"Module '@prisma/client' has no exported member 'UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/repositories/CustomerRepository.ts",1,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/Customer/CustomerType/Prisma'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/routes/auth.ts",5,IMPORT,"Module '@prisma/client' has no exported member 'UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/routes/customer.ts",2,IMPORT,"Module '@prisma/client' has no exported member 'PrismaClient/UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/routes/material.ts",4,IMPORT,"Module '@prisma/client' has no exported member 'UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
"src/routes/plan.ts",4,IMPORT,"Module '@prisma/client' has no exported member 'UserRole'","Prisma Client not generated","Generate Prisma Client first",HIGH,BLOCKED,"Blocked by Prisma generation"
